"random","mean","1%pop","5%pop","50%pop","95%pop","99%pop"
-0.000484175431392009,-0.00252329850084029,-0.0252342550059782,-0.00968515551225998,-0.000838290223173943,-6.94582836557933e-05,-2.55669362201382e-05
-0.000585231078352288,-0.00333686526754409,-0.0342746303968002,-0.0128088654021952,-0.0011547199844284,-9.84753634879598e-05,-3.72798960555952e-05
-0.00208566171296598,-0.00437067008836515,-0.0438439242304593,-0.0169662704335971,-0.00153283684676719,-0.000131329911433836,-4.90855108595311e-05
-0.000555297906685737,-0.00478311134884907,-0.043606890231753,-0.0176099348353696,-0.00196259994449705,-0.000208990832599332,-8.05669995459701e-05
-0.00190125790325646,-0.00629824167699061,-0.0575610427876447,-0.0236093115389589,-0.0025891339970317,-0.000274614757381359,-0.000106925696397409
-0.0013528314629192,-0.00164988081322899,-0.0165243563399161,-0.0062915951192509,-0.000602293868716686,-5.42370522094604e-05,-2.10039749075286e-05
-0.00182759861529191,-0.00144348028544474,-0.0131323819288317,-0.0052534237067625,-0.000606995181043679,-6.66787538523062e-05,-2.60379596325943e-05
-9.38974367117318e-05,-0.00120696225357447,-0.013870626170102,-0.00467014738617479,-0.00033852005045526,-2.35057235072778e-05,-8.05739497241052e-06
-0.00979872573538343,-0.00738780928015349,-0.0819113232489324,-0.0292688764705933,-0.00213127921575762,-0.000145094438357191,-4.95754128666769e-05
-0.00198373537777752,-0.00460089446752772,-0.0463734835176045,-0.0175129635729838,-0.00158055259150236,-0.000132035233917888,-4.94059651381605e-05
-0.00371910386733432,-0.00692237767117241,-0.090675931231636,-0.0278897924269009,-0.0012536879495757,-5.48780189840559e-05,-1.44102158096992e-05
-0.000361799770544069,-0.000402142532211856,-0.004290712127723,-0.00156381782217517,-0.000126633890716266,-9.78021312670887e-06,-3.51638488777617e-06
-0.000352631056988351,-0.0029179304814292,-0.0318291639005935,-0.0112802403472563,-0.000876476884482613,-6.29356307273013e-05,-2.22186474412733e-05
-0.00590376484591359,-0.0031994708792979,-0.0368410898452897,-0.012544126418766,-0.000889794814290135,-5.94910375863622e-05,-2.00853596868411e-05
-0.00648298726426033,-0.0065841778462531,-0.0696048682207305,-0.0257879175578179,-0.00210544919864969,-0.00015998171831349,-5.73480333535814e-05
-0.0472659660615928,-0.015262984004017,-0.142833287769878,-0.0575050569417367,-0.00604909386847835,-0.000603227321135542,-0.000237831816718915
-0.00127099362359917,-0.00112704980253547,-0.0114861779684586,-0.00432054307579336,-0.000390494371710681,-3.41593244343408e-05,-1.22779361679626e-05
-0.00313318456822509,-0.00249147021767004,-0.0237978855550087,-0.00935111123726546,-0.00096774624453233,-9.41566242711301e-05,-3.79338079956959e-05
-0.000918892644736768,-0.00124604355308415,-0.0131708011814899,-0.00484395286918927,-0.000417872974668887,-3.39966961409588e-05,-1.24506878949904e-05
-0.00149895747768758,-0.0029997697861597,-0.0297402976599187,-0.0113534559142813,-0.00106827579066521,-9.51295906174765e-05,-3.52285058689361e-05
-0.000397006969251046,-0.00757238886186944,-0.0992080921143656,-0.0302891103425478,-0.00153561546437481,-7.41550448374096e-05,-2.04182445198419e-05
-0.00327740903472695,-0.006416827233759,-0.0625407960547524,-0.0242527814962115,-0.00232621548100426,-0.000209586098095183,-7.97480887273394e-05
