bmr,assumption,index,model_average,Exponential2,Exponential3,Exponential4,Exponential5,Hill,Power,MichaelisMenten,Linear
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,33,0.215370612,0.220980231,0.235858036,0.153877116,0.193541198,0.306658058,0.337243368,0.233198877,0.252970951
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,34,0.239117387,0.229127912,0.233159719,0.244018486,0.158566674,0.227972174,0.334179975,0.181671126,0.24880059
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,35,0.233153332,0.217776877,0.250158217,0.19150366,0.236870428,0.208505966,0.259663809,0.19828989,0.246760912
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,36,0.242878719,0.203346404,0.347032604,0.19506239,0.2352927,0.262523085,0.327895185,0.242482616,0.266404761
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,37,0.230156269,0.216715454,0.267083705,0.176819335,0.209197671,0.218439659,0.273870532,0.218304471,0.230175172
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,38,0.237989877,0.207819725,0.233421612,0.115145742,0.193675676,0.226916417,0.354379136,0.19154268,0.243696335
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,39,0.194148377,0.226724174,0.216648018,0.186025583,0.285734773,0.246467332,0.295165984,0.234111842,0.295364842
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,40,0.237374229,0.230737021,0.209460753,0.134326233,0.269328122,0.169110639,0.261215528,0.236695985,0.245685451
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,41,0.216042946,0.217042798,0.244331965,0.153749831,0.266634017,0.354778534,0.280873785,0.247872877,0.249618047
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,42,0.245245156,0.224781418,0.276508222,0.209084703,0.303208386,0.357998908,0.286369102,0.229573143,0.246087011
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,43,0.209395075,0.226865906,0.450234336,0.14146296,0.454364788,0.210619513,0.266663505,0.203821294,0.240390461
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,44,0.213330704,0.263386892,0.294824999,0.144320046,0.435249905,0.189351325,0.346596443,0.194907045,0.250698708
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,45,0.209725676,0.20434699,0.247643749,0.213741344,0.201738957,0.312831316,0.269113443,0.219438571,0.248434586
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,46,0.220759472,0.204343529,0.205551879,0.221924814,0.360429541,0.365166171,0.292823139,0.21491844,0.24626292
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,47,0.229789391,0.196211624,0.262749313,0.169781522,0.348891709,0.188900383,0.360931679,0.234471785,0.245552094
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,48,0.226865906,0.226053624,0.353067963,0.111799791,0.208102551,0.208815265,0.273863875,0.23804291,0.257070652
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,49,0.224608763,0.220486408,0.259097114,0.11163889,0.207902372,0.282914741,0.263982827,0.244176118,0.260370108
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,50,0.192655524,0.200082,0.260950298,0.232411513,0.233535646,0.130380926,0.368514294,0.234279985,0.263245436
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,51,0.23438924,0.209738457,0.256351239,0.171713167,0.179726264,0.251127237,0.255102356,0.231703823,0.265457424
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,52,0.236281224,0.198814032,0.245573892,0.189012802,0.485548838,0.263718004,0.436258317,0.203212466,0.252338714
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,53,0.215784753,0.209936745,0.251430987,0.155885787,0.596210059,0.218352404,0.289127665,0.227860729,0.245578692
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,54,0.248484562,0.210278164,0.297698517,0.122970762,0.180831209,0.387865163,0.295641784,0.232264276,0.248809397
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,55,0.221048892,0.240344917,0.235765549,0.151701259,0.456348913,0.291674162,0.306630674,0.23516804,0.277623551
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,56,0.242193105,0.224109947,0.347622986,0.134076703,0.306246895,0.153396764,0.332390861,0.2086875,0.27751765
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,57,0.210245854,0.197372372,0.261172284,0.233389544,0.223149324,0.295769653,0.26106543,0.227794401,0.288799077
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,58,0.209478113,0.227548097,0.243530734,0.192473723,0.617940107,0.238082553,0.26059556,0.203593754,0.249120397
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,59,0.227811349,0.220368648,0.238150012,0.149058976,0.373422441,0.245525352,0.371087862,0.200276441,0.236977492
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,60,0.22847307,0.216587259,0.286934425,0.192712573,0.262608766,0.234730009,0.349991103,0.238641168,0.262381211
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,61,0.220418461,0.213691482,0.273224868,0.21689032,0.107503584,0.20868974,0.253738524,0.214768667,0.256302781
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,62,0.25098896,0.212251036,0.226546772,0.116954716,0.222766103,0.253550234,0.300061713,0.252490551,0.263236072
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,63,0.225063923,0.2224062,0.311090908,0.141711419,0.458187872,0.277327878,0.307005665,0.206255753,0.273813208
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,64,0.21649614,0.227007758,0.249322418,0.148626038,0.148349529,0.210149621,0.262815352,0.239597271,0.247626327
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,65,0.219359618,0.204741384,0.300991847,0.171366797,0.43813639,0.251470896,0.304991321,0.206827236,0.250565913
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,66,0.237547675,0.240731139,0.227503179,0.159716215,0.573719661,0.169816836,0.27956422,0.194837264,0.235573877
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,67,0.201382823,0.199957319,0.259101311,0.164487448,0.211158411,0.352086545,0.263298361,0.206500148,0.249262674
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,68,0.213442732,0.204878726,0.303670559,0.147521496,0.16499823,0.289983723,0.311699457,0.224610051,0.251704138
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,69,0.220926902,0.218299805,0.356907571,0.125140925,0.204694645,0.302051348,0.294746358,0.219260316,0.275241335
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,70,0.233242803,0.226315258,0.253182173,0.143820651,0.597462437,0.280239604,0.283055814,0.205221795,0.275530183
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,71,0.20762116,0.220234298,0.341364718,0.142833515,0.584112344,0.307560199,0.39224812,0.211514564,0.25388282
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,72,0.221663334,0.213275356,0.214571162,0.215001221,0.227154718,0.245960004,0.288557747,0.136495484,0.289496747
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,73,0.207906964,0.213575748,0.232624272,0.130994058,0.18617529,0.213428151,0.252183687,0.228371194,0.271580911
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,74,0.226925086,0.209930042,0.370183007,0.188079765,0.280485602,0.270361476,0.27678884,0.283595634,0.243203544
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,75,0.249104146,0.209628966,0.289524251,0.173803772,0.147534399,0.226836942,0.306525184,0.222673785,0.256399164
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,76,0.219842388,0.196212356,0.273341202,0.163705716,0.496668219,0.175949557,0.278675713,0.153709781,0.27097425
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,77,0.230773575,0.200105673,0.235096393,0.188926865,0.549576195,0.126152837,0.25525397,0.21492701,0.256023805
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,78,0.217082075,0.236835923,0.269889679,0.203219915,0.231466031,0.305612062,0.2703239,0.283621064,0.261843908
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,79,0.19940935,0.217161182,0.320779678,0.107779704,0.174972772,0.221714238,0.23833919,0.269467085,0.251109048
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,80,0.211404896,0.214192309,0.304988538,0.179168545,0.182354303,0.225696952,0.31642296,0.207586481,0.235617766
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,81,0.24927318,0.211533405,0.269259407,0.164548762,0.245846903,0.176805259,0.27583346,0.196866498,0.242362823
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,82,0.249841715,0.233718458,0.259285021,0.193131089,0.226703192,0.279596482,0.25992975,0.195423039,0.261291743
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,83,0.191535673,0.261501055,0.246188313,0.165801257,0.539852525,0.269245968,0.253096713,0.193638228,0.263484598
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,84,0.205923795,0.221214615,0.226003375,0.136172345,0.447947772,0.230458167,0.304733842,0.193024933,0.268643899
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,85,0.233111098,0.216911914,0.275906978,0.173495632,0.312544082,0.224998876,0.231959679,0.156606292,0.269314662
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,86,0.24362884,0.224096141,0.238384002,0.223137543,0.153774668,0.175636277,0.306662065,0.194599359,0.259411262
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,87,0.211296977,0.19883844,0.204458188,0.159715457,0.340316999,0.194775165,0.259437496,0.2150379,0.269921076
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,88,0.195563247,0.182728582,0.260197947,0.136479874,0.246011627,0.257686369,0.264010369,0.209016229,0.250114357
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,89,0.203523691,0.219469453,0.450640934,0.142885137,0.284659346,0.205172427,0.263880711,0.152273708,0.241829001
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,90,0.218856842,0.215476101,0.247052536,0.135480039,0.176325513,0.258001882,0.269893922,0.199644356,0.258535418
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,91,0.218386269,0.221276696,0.225343893,0.158622813,0.549374678,0.21124303,0.316237716,0.193272019,0.280621448
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,92,0.219605694,0.230666379,0.263716773,0.130634651,0.61678597,0.278607206,0.294396019,0.230023006,0.240332647
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,93,0.204728253,0.225004539,0.241972649,0.18469502,0.320744469,0.216339728,0.413945761,0.187336277,0.252202265
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,94,0.238205268,0.20557966,0.268589217,0.201624377,0.458461894,0.177055529,0.383469396,0.208021608,0.271012004
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,95,0.213230834,0.226012318,0.243936132,0.200086113,0.165135593,0.229984558,0.304809759,0.189339672,0.249065033
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,96,0.250034735,0.263424893,0.230608473,0.17353367,0.472677626,0.238634367,0.370197915,0.220543112,0.23376704
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,97,0.204397771,0.245443777,0.271995054,0.145450225,0.34861127,0.282773019,0.288239352,0.228784804,0.254425013
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,98,0.235267339,0.223978379,0.239870947,0.232373205,0.218977944,0.240935188,0.274169045,0.214042065,0.243488783
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,99,0.219466129,0.2403139,0.250489944,0.128371973,0.197326223,0.243526898,0.253965494,0.210674779,0.244351168
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,100,0.212366036,0.21828353,0.287738357,0.144361919,0.259546896,0.242021421,0.259844022,0.230366632,0.25791018
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,101,0.209299041,0.221105758,0.31971591,0.178150311,0.634776875,0.249478571,0.254931968,0.200825032,0.278613302
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,102,0.248610417,0.2387601,0.268224799,0.117767755,0.204600761,0.248677481,0.312603251,0.219222283,0.26991485
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,103,0.234801303,0.219399479,0.302655511,0.236517362,0.552910057,0.286801014,0.351566959,0.201485946,0.257407698
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,104,0.252629994,0.199428541,0.275183131,0.139401633,0.382365756,0.209384392,0.395685827,0.200213231,0.242506803
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,105,0.210705765,0.220052094,0.303960441,0.133877244,0.348064926,0.260992315,0.287567379,0.223932757,0.265054701
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,106,0.208766142,0.228653531,0.228888662,0.192052621,0.434834334,0.258059515,0.511170894,0.200748312,0.257527519
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,107,0.213333031,0.216922875,0.306559812,0.13526142,0.344166173,0.292252441,0.323702692,0.183452949,0.256187482
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,108,0.25815697,0.234618787,0.290204034,0.164800282,0.268478151,0.225476496,0.242041539,0.224576839,0.291938356
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,109,0.26823703,0.236305451,0.241731023,0.133787314,0.610642647,0.217375796,0.28892818,0.21954459,0.249491665
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,110,0.203739084,0.251290633,0.223227331,0.204843334,0.178537089,0.27418708,0.253343942,0.213902455,0.260247867
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,111,0.221105758,0.268496056,0.243951669,0.149011684,0.138510884,0.29767143,0.277817547,0.22958561,0.236511161
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,112,0.211542492,0.225045162,0.242327604,0.137551148,0.62733061,0.209036983,0.258341641,0.201236299,0.256975469
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,113,0.198709323,0.238056638,0.276374954,0.163331591,0.388370371,0.200197234,0.232767224,0.222678535,0.231618029
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,114,0.209522384,0.228119401,0.219877951,0.140887433,0.184813313,0.317359686,0.260642497,0.229888339,0.245683089
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,115,0.214495745,0.220507895,0.236842948,0.144640687,0.363145521,0.289759482,0.275837057,0.214837469,0.228731626
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,116,0.202090766,0.234605248,0.256018625,0.143153004,0.20974399,0.175937615,0.303383962,0.220440897,0.245944463
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,117,0.222484742,0.221285342,0.246665899,0.187858491,0.242832298,0.214448288,0.26832695,0.215309328,0.27646125
